active	passive
passive	active
difficult	easy
easy	difficult
wet	dry
dry	wet
slow	fast
fast	slow
masculine	feminine
feminine	masculine
hard	soft
soft	hard
heavy	light
light	heavy
long	short
short	long
major	minor
minor	major
old	new
new	old
pessimistic	optimistic
optimistic	pessimistic
temporary	permanent
permanent	temporary
public	private
private	public
wrong	right
right	wrong
urban	rural
rural	urban
dead	alive
alive	dead
good	bad
bad	good
hot	cold
cold	hot
sober	drunk
drunk	sober
true	false
false	true
male	female
female	male
sad	happy
happy	sad
low	high
high	low
small	large
large	small
rich	poor
poor	rich
