class	pattern	X	Y	query
yes	a gap between X and Y	alive	dead	a_. gap_. between_. (alive)_j and_. (dead)_j
yes	a gap between X and Y	alive	dead	a_. gap_. between_. (dead)_j and_. (alive)_j
no	a gap between X and Y	alive	dead	a_. gap_. between_. (?!alive)(\b\w+)_j and_. (\bdead)_j
no	a gap between X and Y	alive	dead	a_. gap_. between_. (\balive)_j and_. (?!dead)(\b\w+)_j
no	a gap between X and Y	alive	dead	a_. gap_. between_. (?!dead)(\b\w+)_j and_. (\balive)_j
no	a gap between X and Y	alive	dead	a_. gap_. between_. (\bdead)_j and_. (?!alive)(\b\w+)_j
yes	a gap between X and Y	private	public	a_. gap_. between_. (private)_j and_. (public)_j
yes	a gap between X and Y	private	public	a_. gap_. between_. (public)_j and_. (private)_j
no	a gap between X and Y	private	public	a_. gap_. between_. (?!private)(\b\w+)_j and_. (\bpublic)_j
no	a gap between X and Y	private	public	a_. gap_. between_. (\bprivate)_j and_. (?!public)(\b\w+)_j
no	a gap between X and Y	private	public	a_. gap_. between_. (?!public)(\b\w+)_j and_. (\bprivate)_j
no	a gap between X and Y	private	public	a_. gap_. between_. (\bpublic)_j and_. (?!private)(\b\w+)_j
yes	a gap between X and Y	bad	good	a_. gap_. between_. (bad)_j and_. (good)_j
yes	a gap between X and Y	bad	good	a_. gap_. between_. (good)_j and_. (bad)_j
no	a gap between X and Y	bad	good	a_. gap_. between_. (?!bad)(\b\w+)_j and_. (\bgood)_j
no	a gap between X and Y	bad	good	a_. gap_. between_. (\bbad)_j and_. (?!good)(\b\w+)_j
no	a gap between X and Y	bad	good	a_. gap_. between_. (?!good)(\b\w+)_j and_. (\bbad)_j
no	a gap between X and Y	bad	good	a_. gap_. between_. (\bgood)_j and_. (?!bad)(\b\w+)_j
yes	a gap between X and Y	heavy	light	a_. gap_. between_. (heavy)_j and_. (light)_j
yes	a gap between X and Y	heavy	light	a_. gap_. between_. (light)_j and_. (heavy)_j
no	a gap between X and Y	heavy	light	a_. gap_. between_. (?!heavy)(\b\w+)_j and_. (\blight)_j
no	a gap between X and Y	heavy	light	a_. gap_. between_. (\bheavy)_j and_. (?!light)(\b\w+)_j
no	a gap between X and Y	heavy	light	a_. gap_. between_. (?!light)(\b\w+)_j and_. (\bheavy)_j
no	a gap between X and Y	heavy	light	a_. gap_. between_. (\blight)_j and_. (?!heavy)(\b\w+)_j
yes	a gap between X and Y	drunk	sober	a_. gap_. between_. (drunk)_j and_. (sober)_j
yes	a gap between X and Y	drunk	sober	a_. gap_. between_. (sober)_j and_. (drunk)_j
no	a gap between X and Y	drunk	sober	a_. gap_. between_. (?!drunk)(\b\w+)_j and_. (\bsober)_j
no	a gap between X and Y	drunk	sober	a_. gap_. between_. (\bdrunk)_j and_. (?!sober)(\b\w+)_j
no	a gap between X and Y	drunk	sober	a_. gap_. between_. (?!sober)(\b\w+)_j and_. (\bdrunk)_j
no	a gap between X and Y	drunk	sober	a_. gap_. between_. (\bsober)_j and_. (?!drunk)(\b\w+)_j
yes	a gap between X and Y	hard	soft	a_. gap_. between_. (hard)_j and_. (soft)_j
yes	a gap between X and Y	hard	soft	a_. gap_. between_. (soft)_j and_. (hard)_j
no	a gap between X and Y	hard	soft	a_. gap_. between_. (?!hard)(\b\w+)_j and_. (\bsoft)_j
