class	pattern	X	Y	query
no	a gap between X and Y	hard	soft	a_. gap_. between_. (\bhard)_j and_. (?!soft)(\b\w+)_j
no	a gap between X and Y	hard	soft	a_. gap_. between_. (?!soft)(\b\w+)_j and_. (\bhard)_j
no	a gap between X and Y	hard	soft	a_. gap_. between_. (\bsoft)_j and_. (?!hard)(\b\w+)_j
yes	a gap between X and Y	false	true	a_. gap_. between_. (false)_j and_. (true)_j
yes	a gap between X and Y	false	true	a_. gap_. between_. (true)_j and_. (false)_j
no	a gap between X and Y	false	true	a_. gap_. between_. (?!false)(\b\w+)_j and_. (\btrue)_j
no	a gap between X and Y	false	true	a_. gap_. between_. (\bfalse)_j and_. (?!true)(\b\w+)_j
no	a gap between X and Y	false	true	a_. gap_. between_. (?!true)(\b\w+)_j and_. (\bfalse)_j
no	a gap between X and Y	false	true	a_. gap_. between_. (\btrue)_j and_. (?!false)(\b\w+)_j
yes	a gap between X and Y	happy	sad	a_. gap_. between_. (happy)_j and_. (sad)_j
yes	a gap between X and Y	happy	sad	a_. gap_. between_. (sad)_j and_. (happy)_j
no	a gap between X and Y	happy	sad	a_. gap_. between_. (?!happy)(\b\w+)_j and_. (\bsad)_j
no	a gap between X and Y	happy	sad	a_. gap_. between_. (\bhappy)_j and_. (?!sad)(\b\w+)_j
no	a gap between X and Y	happy	sad	a_. gap_. between_. (?!sad)(\b\w+)_j and_. (\bhappy)_j
no	a gap between X and Y	happy	sad	a_. gap_. between_. (\bsad)_j and_. (?!happy)(\b\w+)_j
yes	a gap between X and Y	dry	wet	a_. gap_. between_. (dry)_j and_. (wet)_j
yes	a gap between X and Y	dry	wet	a_. gap_. between_. (wet)_j and_. (dry)_j
no	a gap between X and Y	dry	wet	a_. gap_. between_. (?!dry)(\b\w+)_j and_. (\bwet)_j
no	a gap between X and Y	dry	wet	a_. gap_. between_. (\bdry)_j and_. (?!wet)(\b\w+)_j
no	a gap between X and Y	dry	wet	a_. gap_. between_. (?!wet)(\b\w+)_j and_. (\bdry)_j
no	a gap between X and Y	dry	wet	a_. gap_. between_. (\bwet)_j and_. (?!dry)(\b\w+)_j
yes	a gap between X and Y	right	wrong	a_. gap_. between_. (right)_j and_. (wrong)_j
yes	a gap between X and Y	right	wrong	a_. gap_. between_. (wrong)_j and_. (right)_j
no	a gap between X and Y	right	wrong	a_. gap_. between_. (?!right)(\b\w+)_j and_. (\bwrong)_j
no	a gap between X and Y	right	wrong	a_. gap_. between_. (\bright)_j and_. (?!wrong)(\b\w+)_j
no	a gap between X and Y	right	wrong	a_. gap_. between_. (?!wrong)(\b\w+)_j and_. (\bright)_j
no	a gap between X and Y	right	wrong	a_. gap_. between_. (\bwrong)_j and_. (?!right)(\b\w+)_j
yes	a gap between X and Y	female	male	a_. gap_. between_. (female)_j and_. (male)_j
yes	a gap between X and Y	female	male	a_. gap_. between_. (male)_j and_. (female)_j
no	a gap between X and Y	female	male	a_. gap_. between_. (?!female)(\b\w+)_j and_. (\bmale)_j
no	a gap between X and Y	female	male	a_. gap_. between_. (\bfemale)_j and_. (?!male)(\b\w+)_j
no	a gap between X and Y	female	male	a_. gap_. between_. (?!male)(\b\w+)_j and_. (\bfemale)_j
no	a gap between X and Y	female	male	a_. gap_. between_. (\bmale)_j and_. (?!female)(\b\w+)_j
yes	a gap between X and Y	high	low	a_. gap_. between_. (high)_j and_. (low)_j
yes	a gap between X and Y	high	low	a_. gap_. between_. (low)_j and_. (high)_j
no	a gap between X and Y	high	low	a_. gap_. between_. (?!high)(\b\w+)_j and_. (\blow)_j
no	a gap between X and Y	high	low	a_. gap_. between_. (\bhigh)_j and_. (?!low)(\b\w+)_j
no	a gap between X and Y	high	low	a_. gap_. between_. (?!low)(\b\w+)_j and_. (\bhigh)_j
no	a gap between X and Y	high	low	a_. gap_. between_. (\blow)_j and_. (?!high)(\b\w+)_j
yes	a gap between X and Y	rural	urban	a_. gap_. between_. (rural)_j and_. (urban)_j
yes	a gap between X and Y	rural	urban	a_. gap_. between_. (urban)_j and_. (rural)_j
no	a gap between X and Y	rural	urban	a_. gap_. between_. (?!rural)(\b\w+)_j and_. (\burban)_j
no	a gap between X and Y	rural	urban	a_. gap_. between_. (\brural)_j and_. (?!urban)(\b\w+)_j
no	a gap between X and Y	rural	urban	a_. gap_. between_. (?!urban)(\b\w+)_j and_. (\brural)_j
no	a gap between X and Y	rural	urban	a_. gap_. between_. (\burban)_j and_. (?!rural)(\b\w+)_j
yes	a gap between X and Y	cold	hot	a_. gap_. between_. (cold)_j and_. (hot)_j
yes	a gap between X and Y	cold	hot	a_. gap_. between_. (hot)_j and_. (cold)_j
no	a gap between X and Y	cold	hot	a_. gap_. between_. (?!cold)(\b\w+)_j and_. (\bhot)_j
no	a gap between X and Y	cold	hot	a_. gap_. between_. (\bcold)_j and_. (?!hot)(\b\w+)_j
no	a gap between X and Y	cold	hot	a_. gap_. between_. (?!hot)(\b\w+)_j and_. (\bcold)_j
no	a gap between X and Y	cold	hot	a_. gap_. between_. (\bhot)_j and_. (?!cold)(\b\w+)_j
yes	a gap between X and Y	poor	rich	a_. gap_. between_. (poor)_j and_. (rich)_j
yes	a gap between X and Y	poor	rich	a_. gap_. between_. (rich)_j and_. (poor)_j
no	a gap between X and Y	poor	rich	a_. gap_. between_. (?!poor)(\b\w+)_j and_. (\brich)_j
no	a gap between X and Y	poor	rich	a_. gap_. between_. (\bpoor)_j and_. (?!rich)(\b\w+)_j
no	a gap between X and Y	poor	rich	a_. gap_. between_. (?!rich)(\b\w+)_j and_. (\bpoor)_j
no	a gap between X and Y	poor	rich	a_. gap_. between_. (\brich)_j and_. (?!poor)(\b\w+)_j
yes	a gap between X and Y	difficult	easy	a_. gap_. between_. (difficult)_j and_. (easy)_j
yes	a gap between X and Y	difficult	easy	a_. gap_. between_. (easy)_j and_. (difficult)_j
no	a gap between X and Y	difficult	easy	a_. gap_. between_. (?!difficult)(\b\w+)_j and_. (\beasy)_j
no	a gap between X and Y	difficult	easy	a_. gap_. between_. (\bdifficult)_j and_. (?!easy)(\b\w+)_j
no	a gap between X and Y	difficult	easy	a_. gap_. between_. (?!easy)(\b\w+)_j and_. (\bdifficult)_j
no	a gap between X and Y	difficult	easy	a_. gap_. between_. (\beasy)_j and_. (?!difficult)(\b\w+)_j
yes	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (optimistic)_j and_. (pessimistic)_j
yes	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (pessimistic)_j and_. (optimistic)_j
no	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (?!optimistic)(\b\w+)_j and_. (\bpessimistic)_j
no	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (\boptimistic)_j and_. (?!pessimistic)(\b\w+)_j
no	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (?!pessimistic)(\b\w+)_j and_. (\boptimistic)_j
no	a gap between X and Y	optimistic	pessimistic	a_. gap_. between_. (\bpessimistic)_j and_. (?!optimistic)(\b\w+)_j
yes	a gap between X and Y	permanent	temporary	a_. gap_. between_. (permanent)_j and_. (temporary)_j
yes	a gap between X and Y	permanent	temporary	a_. gap_. between_. (temporary)_j and_. (permanent)_j
no	a gap between X and Y	permanent	temporary	a_. gap_. between_. (?!permanent)(\b\w+)_j and_. (\btemporary)_j
no	a gap between X and Y	permanent	temporary	a_. gap_. between_. (\bpermanent)_j and_. (?!temporary)(\b\w+)_j
no	a gap between X and Y	permanent	temporary	a_. gap_. between_. (?!temporary)(\b\w+)_j and_. (\bpermanent)_j
no	a gap between X and Y	permanent	temporary	a_. gap_. between_. (\btemporary)_j and_. (?!permanent)(\b\w+)_j
yes	a gap between X and Y	feminine	masculine	a_. gap_. between_. (feminine)_j and_. (masculine)_j
yes	a gap between X and Y	feminine	masculine	a_. gap_. between_. (masculine)_j and_. (feminine)_j
no	a gap between X and Y	feminine	masculine	a_. gap_. between_. (?!feminine)(\b\w+)_j and_. (\bmasculine)_j
no	a gap between X and Y	feminine	masculine	a_. gap_. between_. (\bfeminine)_j and_. (?!masculine)(\b\w+)_j
no	a gap between X and Y	feminine	masculine	a_. gap_. between_. (?!masculine)(\b\w+)_j and_. (\bfeminine)_j
no	a gap between X and Y	feminine	masculine	a_. gap_. between_. (\bmasculine)_j and_. (?!feminine)(\b\w+)_j
yes	a gap between X and Y	long	short	a_. gap_. between_. (long)_j and_. (short)_j
yes	a gap between X and Y	long	short	a_. gap_. between_. (short)_j and_. (long)_j
no	a gap between X and Y	long	short	a_. gap_. between_. (?!long)(\b\w+)_j and_. (\bshort)_j
no	a gap between X and Y	long	short	a_. gap_. between_. (\blong)_j and_. (?!short)(\b\w+)_j
no	a gap between X and Y	long	short	a_. gap_. between_. (?!short)(\b\w+)_j and_. (\blong)_j
no	a gap between X and Y	long	short	a_. gap_. between_. (\bshort)_j and_. (?!long)(\b\w+)_j
yes	a gap between X and Y	large	small	a_. gap_. between_. (large)_j and_. (small)_j
yes	a gap between X and Y	large	small	a_. gap_. between_. (small)_j and_. (large)_j
no	a gap between X and Y	large	small	a_. gap_. between_. (?!large)(\b\w+)_j and_. (\bsmall)_j
no	a gap between X and Y	large	small	a_. gap_. between_. (\blarge)_j and_. (?!small)(\b\w+)_j
no	a gap between X and Y	large	small	a_. gap_. between_. (?!small)(\b\w+)_j and_. (\blarge)_j
no	a gap between X and Y	large	small	a_. gap_. between_. (\bsmall)_j and_. (?!large)(\b\w+)_j
yes	a gap between X and Y	new	old	a_. gap_. between_. (new)_j and_. (old)_j
yes	a gap between X and Y	new	old	a_. gap_. between_. (old)_j and_. (new)_j
no	a gap between X and Y	new	old	a_. gap_. between_. (?!new)(\b\w+)_j and_. (\bold)_j
no	a gap between X and Y	new	old	a_. gap_. between_. (\bnew)_j and_. (?!old)(\b\w+)_j
no	a gap between X and Y	new	old	a_. gap_. between_. (?!old)(\b\w+)_j and_. (\bnew)_j
no	a gap between X and Y	new	old	a_. gap_. between_. (\bold)_j and_. (?!new)(\b\w+)_j
yes	a gap between X and Y	fast	slow	a_. gap_. between_. (fast)_j and_. (slow)_j
yes	a gap between X and Y	fast	slow	a_. gap_. between_. (slow)_j and_. (fast)_j
no	a gap between X and Y	fast	slow	a_. gap_. between_. (?!fast)(\b\w+)_j and_. (\bslow)_j
no	a gap between X and Y	fast	slow	a_. gap_. between_. (\bfast)_j and_. (?!slow)(\b\w+)_j
no	a gap between X and Y	fast	slow	a_. gap_. between_. (?!slow)(\b\w+)_j and_. (\bfast)_j
no	a gap between X and Y	fast	slow	a_. gap_. between_. (\bslow)_j and_. (?!fast)(\b\w+)_j
yes	a gap between X and Y	major	minor	a_. gap_. between_. (major)_j and_. (minor)_j
yes	a gap between X and Y	major	minor	a_. gap_. between_. (minor)_j and_. (major)_j
no	a gap between X and Y	major	minor	a_. gap_. between_. (?!major)(\b\w+)_j and_. (\bminor)_j
no	a gap between X and Y	major	minor	a_. gap_. between_. (\bmajor)_j and_. (?!minor)(\b\w+)_j
no	a gap between X and Y	major	minor	a_. gap_. between_. (?!minor)(\b\w+)_j and_. (\bmajor)_j
no	a gap between X and Y	major	minor	a_. gap_. between_. (\bminor)_j and_. (?!major)(\b\w+)_j
yes	a gap between X and Y	active	passive	a_. gap_. between_. (active)_j and_. (passive)_j
yes	a gap between X and Y	active	passive	a_. gap_. between_. (passive)_j and_. (active)_j
no	a gap between X and Y	active	passive	a_. gap_. between_. (?!active)(\b\w+)_j and_. (\bpassive)_j
no	a gap between X and Y	active	passive	a_. gap_. between_. (\bactive)_j and_. (?!passive)(\b\w+)_j
no	a gap between X and Y	active	passive	a_. gap_. between_. (?!passive)(\b\w+)_j and_. (\bactive)_j
no	a gap between X and Y	active	passive	a_. gap_. between_. (\bpassive)_j and_. (?!active)(\b\w+)_j
yes	between X and Y	alive	dead	between_. (alive)_j and_. (dead)_j
yes	between X and Y	alive	dead	between_. (dead)_j and_. (alive)_j
no	between X and Y	alive	dead	between_. (?!alive)(\b\w+)_j and_. (\bdead)_j
no	between X and Y	alive	dead	between_. (\balive)_j and_. (?!dead)(\b\w+)_j
no	between X and Y	alive	dead	between_. (?!dead)(\b\w+)_j and_. (\balive)_j
no	between X and Y	alive	dead	between_. (\bdead)_j and_. (?!alive)(\b\w+)_j
yes	between X and Y	private	public	between_. (private)_j and_. (public)_j
yes	between X and Y	private	public	between_. (public)_j and_. (private)_j
no	between X and Y	private	public	between_. (?!private)(\b\w+)_j and_. (\bpublic)_j
no	between X and Y	private	public	between_. (\bprivate)_j and_. (?!public)(\b\w+)_j
no	between X and Y	private	public	between_. (?!public)(\b\w+)_j and_. (\bprivate)_j
no	between X and Y	private	public	between_. (\bpublic)_j and_. (?!private)(\b\w+)_j
yes	between X and Y	bad	good	between_. (bad)_j and_. (good)_j
yes	between X and Y	bad	good	between_. (good)_j and_. (bad)_j
no	between X and Y	bad	good	between_. (?!bad)(\b\w+)_j and_. (\bgood)_j
no	between X and Y	bad	good	between_. (\bbad)_j and_. (?!good)(\b\w+)_j
no	between X and Y	bad	good	between_. (?!good)(\b\w+)_j and_. (\bbad)_j
no	between X and Y	bad	good	between_. (\bgood)_j and_. (?!bad)(\b\w+)_j
yes	between X and Y	heavy	light	between_. (heavy)_j and_. (light)_j
yes	between X and Y	heavy	light	between_. (light)_j and_. (heavy)_j
no	between X and Y	heavy	light	between_. (?!heavy)(\b\w+)_j and_. (\blight)_j
no	between X and Y	heavy	light	between_. (\bheavy)_j and_. (?!light)(\b\w+)_j
no	between X and Y	heavy	light	between_. (?!light)(\b\w+)_j and_. (\bheavy)_j
no	between X and Y	heavy	light	between_. (\blight)_j and_. (?!heavy)(\b\w+)_j
yes	between X and Y	drunk	sober	between_. (drunk)_j and_. (sober)_j
yes	between X and Y	drunk	sober	between_. (sober)_j and_. (drunk)_j
no	between X and Y	drunk	sober	between_. (?!drunk)(\b\w+)_j and_. (\bsober)_j
no	between X and Y	drunk	sober	between_. (\bdrunk)_j and_. (?!sober)(\b\w+)_j
no	between X and Y	drunk	sober	between_. (?!sober)(\b\w+)_j and_. (\bdrunk)_j
no	between X and Y	drunk	sober	between_. (\bsober)_j and_. (?!drunk)(\b\w+)_j
yes	between X and Y	hard	soft	between_. (hard)_j and_. (soft)_j
yes	between X and Y	hard	soft	between_. (soft)_j and_. (hard)_j
no	between X and Y	hard	soft	between_. (?!hard)(\b\w+)_j and_. (\bsoft)_j
no	between X and Y	hard	soft	between_. (\bhard)_j and_. (?!soft)(\b\w+)_j
no	between X and Y	hard	soft	between_. (?!soft)(\b\w+)_j and_. (\bhard)_j
no	between X and Y	hard	soft	between_. (\bsoft)_j and_. (?!hard)(\b\w+)_j
yes	between X and Y	false	true	between_. (false)_j and_. (true)_j
yes	between X and Y	false	true	between_. (true)_j and_. (false)_j
no	between X and Y	false	true	between_. (?!false)(\b\w+)_j and_. (\btrue)_j
no	between X and Y	false	true	between_. (\bfalse)_j and_. (?!true)(\b\w+)_j
no	between X and Y	false	true	between_. (?!true)(\b\w+)_j and_. (\bfalse)_j
no	between X and Y	false	true	between_. (\btrue)_j and_. (?!false)(\b\w+)_j
yes	between X and Y	happy	sad	between_. (happy)_j and_. (sad)_j
yes	between X and Y	happy	sad	between_. (sad)_j and_. (happy)_j
no	between X and Y	happy	sad	between_. (?!happy)(\b\w+)_j and_. (\bsad)_j
no	between X and Y	happy	sad	between_. (\bhappy)_j and_. (?!sad)(\b\w+)_j
no	between X and Y	happy	sad	between_. (?!sad)(\b\w+)_j and_. (\bhappy)_j
no	between X and Y	happy	sad	between_. (\bsad)_j and_. (?!happy)(\b\w+)_j
yes	between X and Y	dry	wet	between_. (dry)_j and_. (wet)_j
yes	between X and Y	dry	wet	between_. (wet)_j and_. (dry)_j
no	between X and Y	dry	wet	between_. (?!dry)(\b\w+)_j and_. (\bwet)_j
no	between X and Y	dry	wet	between_. (\bdry)_j and_. (?!wet)(\b\w+)_j
no	between X and Y	dry	wet	between_. (?!wet)(\b\w+)_j and_. (\bdry)_j
no	between X and Y	dry	wet	between_. (\bwet)_j and_. (?!dry)(\b\w+)_j
yes	between X and Y	right	wrong	between_. (right)_j and_. (wrong)_j
yes	between X and Y	right	wrong	between_. (wrong)_j and_. (right)_j
no	between X and Y	right	wrong	between_. (?!right)(\b\w+)_j and_. (\bwrong)_j
no	between X and Y	right	wrong	between_. (\bright)_j and_. (?!wrong)(\b\w+)_j
no	between X and Y	right	wrong	between_. (?!wrong)(\b\w+)_j and_. (\bright)_j
no	between X and Y	right	wrong	between_. (\bwrong)_j and_. (?!right)(\b\w+)_j
yes	between X and Y	female	male	between_. (female)_j and_. (male)_j
yes	between X and Y	female	male	between_. (male)_j and_. (female)_j
no	between X and Y	female	male	between_. (?!female)(\b\w+)_j and_. (\bmale)_j
no	between X and Y	female	male	between_. (\bfemale)_j and_. (?!male)(\b\w+)_j
no	between X and Y	female	male	between_. (?!male)(\b\w+)_j and_. (\bfemale)_j
no	between X and Y	female	male	between_. (\bmale)_j and_. (?!female)(\b\w+)_j
yes	between X and Y	high	low	between_. (high)_j and_. (low)_j
yes	between X and Y	high	low	between_. (low)_j and_. (high)_j
no	between X and Y	high	low	between_. (?!high)(\b\w+)_j and_. (\blow)_j
no	between X and Y	high	low	between_. (\bhigh)_j and_. (?!low)(\b\w+)_j
no	between X and Y	high	low	between_. (?!low)(\b\w+)_j and_. (\bhigh)_j
no	between X and Y	high	low	between_. (\blow)_j and_. (?!high)(\b\w+)_j
yes	between X and Y	rural	urban	between_. (rural)_j and_. (urban)_j
yes	between X and Y	rural	urban	between_. (urban)_j and_. (rural)_j
no	between X and Y	rural	urban	between_. (?!rural)(\b\w+)_j and_. (\burban)_j
no	between X and Y	rural	urban	between_. (\brural)_j and_. (?!urban)(\b\w+)_j
no	between X and Y	rural	urban	between_. (?!urban)(\b\w+)_j and_. (\brural)_j
no	between X and Y	rural	urban	between_. (\burban)_j and_. (?!rural)(\b\w+)_j
yes	between X and Y	cold	hot	between_. (cold)_j and_. (hot)_j
yes	between X and Y	cold	hot	between_. (hot)_j and_. (cold)_j
no	between X and Y	cold	hot	between_. (?!cold)(\b\w+)_j and_. (\bhot)_j
no	between X and Y	cold	hot	between_. (\bcold)_j and_. (?!hot)(\b\w+)_j
no	between X and Y	cold	hot	between_. (?!hot)(\b\w+)_j and_. (\bcold)_j
no	between X and Y	cold	hot	between_. (\bhot)_j and_. (?!cold)(\b\w+)_j
yes	between X and Y	poor	rich	between_. (poor)_j and_. (rich)_j
yes	between X and Y	poor	rich	between_. (rich)_j and_. (poor)_j
no	between X and Y	poor	rich	between_. (?!poor)(\b\w+)_j and_. (\brich)_j
no	between X and Y	poor	rich	between_. (\bpoor)_j and_. (?!rich)(\b\w+)_j
no	between X and Y	poor	rich	between_. (?!rich)(\b\w+)_j and_. (\bpoor)_j
no	between X and Y	poor	rich	between_. (\brich)_j and_. (?!poor)(\b\w+)_j
yes	between X and Y	difficult	easy	between_. (difficult)_j and_. (easy)_j
yes	between X and Y	difficult	easy	between_. (easy)_j and_. (difficult)_j
no	between X and Y	difficult	easy	between_. (?!difficult)(\b\w+)_j and_. (\beasy)_j
no	between X and Y	difficult	easy	between_. (\bdifficult)_j and_. (?!easy)(\b\w+)_j
no	between X and Y	difficult	easy	between_. (?!easy)(\b\w+)_j and_. (\bdifficult)_j
no	between X and Y	difficult	easy	between_. (\beasy)_j and_. (?!difficult)(\b\w+)_j
yes	between X and Y	optimistic	pessimistic	between_. (optimistic)_j and_. (pessimistic)_j
yes	between X and Y	optimistic	pessimistic	between_. (pessimistic)_j and_. (optimistic)_j
no	between X and Y	optimistic	pessimistic	between_. (?!optimistic)(\b\w+)_j and_. (\bpessimistic)_j
no	between X and Y	optimistic	pessimistic	between_. (\boptimistic)_j and_. (?!pessimistic)(\b\w+)_j
no	between X and Y	optimistic	pessimistic	between_. (?!pessimistic)(\b\w+)_j and_. (\boptimistic)_j
no	between X and Y	optimistic	pessimistic	between_. (\bpessimistic)_j and_. (?!optimistic)(\b\w+)_j
yes	between X and Y	permanent	temporary	between_. (permanent)_j and_. (temporary)_j
yes	between X and Y	permanent	temporary	between_. (temporary)_j and_. (permanent)_j
no	between X and Y	permanent	temporary	between_. (?!permanent)(\b\w+)_j and_. (\btemporary)_j
no	between X and Y	permanent	temporary	between_. (\bpermanent)_j and_. (?!temporary)(\b\w+)_j
no	between X and Y	permanent	temporary	between_. (?!temporary)(\b\w+)_j and_. (\bpermanent)_j
no	between X and Y	permanent	temporary	between_. (\btemporary)_j and_. (?!permanent)(\b\w+)_j
yes	between X and Y	feminine	masculine	between_. (feminine)_j and_. (masculine)_j
yes	between X and Y	feminine	masculine	between_. (masculine)_j and_. (feminine)_j
no	between X and Y	feminine	masculine	between_. (?!feminine)(\b\w+)_j and_. (\bmasculine)_j
no	between X and Y	feminine	masculine	between_. (\bfeminine)_j and_. (?!masculine)(\b\w+)_j
no	between X and Y	feminine	masculine	between_. (?!masculine)(\b\w+)_j and_. (\bfeminine)_j
no	between X and Y	feminine	masculine	between_. (\bmasculine)_j and_. (?!feminine)(\b\w+)_j
yes	between X and Y	long	short	between_. (long)_j and_. (short)_j
yes	between X and Y	long	short	between_. (short)_j and_. (long)_j
no	between X and Y	long	short	between_. (?!long)(\b\w+)_j and_. (\bshort)_j
no	between X and Y	long	short	between_. (\blong)_j and_. (?!short)(\b\w+)_j
no	between X and Y	long	short	between_. (?!short)(\b\w+)_j and_. (\blong)_j
no	between X and Y	long	short	between_. (\bshort)_j and_. (?!long)(\b\w+)_j
yes	between X and Y	large	small	between_. (large)_j and_. (small)_j
yes	between X and Y	large	small	between_. (small)_j and_. (large)_j
no	between X and Y	large	small	between_. (?!large)(\b\w+)_j and_. (\bsmall)_j
no	between X and Y	large	small	between_. (\blarge)_j and_. (?!small)(\b\w+)_j
no	between X and Y	large	small	between_. (?!small)(\b\w+)_j and_. (\blarge)_j
no	between X and Y	large	small	between_. (\bsmall)_j and_. (?!large)(\b\w+)_j
yes	between X and Y	new	old	between_. (new)_j and_. (old)_j
yes	between X and Y	new	old	between_. (old)_j and_. (new)_j
no	between X and Y	new	old	between_. (?!new)(\b\w+)_j and_. (\bold)_j
no	between X and Y	new	old	between_. (\bnew)_j and_. (?!old)(\b\w+)_j
no	between X and Y	new	old	between_. (?!old)(\b\w+)_j and_. (\bnew)_j
no	between X and Y	new	old	between_. (\bold)_j and_. (?!new)(\b\w+)_j
yes	between X and Y	fast	slow	between_. (fast)_j and_. (slow)_j
yes	between X and Y	fast	slow	between_. (slow)_j and_. (fast)_j
no	between X and Y	fast	slow	between_. (?!fast)(\b\w+)_j and_. (\bslow)_j
no	between X and Y	fast	slow	between_. (\bfast)_j and_. (?!slow)(\b\w+)_j
no	between X and Y	fast	slow	between_. (?!slow)(\b\w+)_j and_. (\bfast)_j
no	between X and Y	fast	slow	between_. (\bslow)_j and_. (?!fast)(\b\w+)_j
yes	between X and Y	major	minor	between_. (major)_j and_. (minor)_j
yes	between X and Y	major	minor	between_. (minor)_j and_. (major)_j
no	between X and Y	major	minor	between_. (?!major)(\b\w+)_j and_. (\bminor)_j
no	between X and Y	major	minor	between_. (\bmajor)_j and_. (?!minor)(\b\w+)_j
no	between X and Y	major	minor	between_. (?!minor)(\b\w+)_j and_. (\bmajor)_j
no	between X and Y	major	minor	between_. (\bminor)_j and_. (?!major)(\b\w+)_j
yes	between X and Y	active	passive	between_. (active)_j and_. (passive)_j
yes	between X and Y	active	passive	between_. (passive)_j and_. (active)_j
no	between X and Y	active	passive	between_. (?!active)(\b\w+)_j and_. (\bpassive)_j
no	between X and Y	active	passive	between_. (\bactive)_j and_. (?!passive)(\b\w+)_j
no	between X and Y	active	passive	between_. (?!passive)(\b\w+)_j and_. (\bactive)_j
no	between X and Y	active	passive	between_. (\bpassive)_j and_. (?!active)(\b\w+)_j
yes	both X and Y	alive	dead	both_. (alive)_j and_. (dead)_j
yes	both X and Y	alive	dead	both_. (dead)_j and_. (alive)_j
no	both X and Y	alive	dead	both_. (?!alive)(\b\w+)_j and_. (\bdead)_j
no	both X and Y	alive	dead	both_. (\balive)_j and_. (?!dead)(\b\w+)_j
no	both X and Y	alive	dead	both_. (?!dead)(\b\w+)_j and_. (\balive)_j
no	both X and Y	alive	dead	both_. (\bdead)_j and_. (?!alive)(\b\w+)_j
yes	both X and Y	private	public	both_. (private)_j and_. (public)_j
yes	both X and Y	private	public	both_. (public)_j and_. (private)_j
