pattern	pair	count
how X or Y	rural - urban	2
from X to Y	dry - wet	2
X as well as Y	large - small	2
X as well as Y	private - public	2
X and Y alike	active - passive	1
not X, but Y	difficult - easy	1
not X, but Y	large - small	1
not X, but Y	drunk - sober	1
not X, but Y	false - true	1
not X, but Y	fast - slow	1
not X, but Y	alive - dead	1
either too X or too Y	large - small	1
not X, but Y	hard - soft	1
X as well as Y	heavy - light	1
separating X and Y	private - public	1
not X, but Y	long - short	1
not X, but Y	new - old	1
not X, but Y	right - wrong	1
the very X and the very Y	bad - good	1
the very X and the very Y	large - small	1
between X and Y	false - true	1
either too X or too Y	poor - rich	1
whether X or Y	difficult - easy	1
X rather than Y	alive - dead	1
whether X or Y	happy - sad	1
whether X or Y	hard - soft	1
whether X or Y	long - short	1
X, not Y	rural - urban	1
from X to Y	drunk - sober	1
either too X or too Y	high - low	1
either too X or too Y	cold - hot	1
between X and Y	fast - slow	1
both X and Y	female - male	1
X rather than Y	female - male	1
X as well as Y	happy - sad	1
X as well as Y	feminine - masculine	1
more X than Y	hard - soft	1
X as well as Y	fast - slow	1
X as well as Y	false - true	1
how X or Y	poor - rich	1
X as well as Y	long - short	1
both X and Y	optimistic - pessimistic	1
X rather than Y	poor - rich	1
X rather than Y	right - wrong	1
X, not Y	drunk - sober	1
X as well as Y	permanent - temporary	1
neither X nor Y	optimistic - pessimistic	1
X, not Y	female - male	1
either X or Y	long - short	1
how X or Y	false - true	1
how X or Y	difficult - easy	1
either X or Y	major - minor	1
between X and Y	long - short	1
neither X nor Y	female - male	1
either X or Y	rural - urban	1
neither X nor Y	hard - soft	1
neither X nor Y	heavy - light	1
either too X or too Y	active - passive	1
X and Y alike	bad - good	1
X, not Y	active - passive	1
